year,category,performer,song,place_contest,pts_orch_fin,pts_tele_fin,perc_tele_supfin,youtube_url_studio,youtube_url_live,start
2013,Big Artists,Annalisa,Scintille,9,,,,https://www.youtube.com/watch?v=iePdJ3CZGIs,,00:00:40
2013,Big Artists,Maria Nazionale,È colpa mia,10,,,,https://www.youtube.com/watch?v=wdRCkmDV9Hc,,00:01:13
2013,Big Artists,Simone Cristicchi,La prima volta (che sono morto),11,,,,https://www.youtube.com/watch?v=1UsFm6rft80,https://www.youtube.com/watch?v=B-KEPPPvM1A,00:01:18
2013,Big Artists,Marta sui Tubi,Vorrei,12,,,,https://www.youtube.com/watch?v=gbOz6BFwDfg,,00:00:21
2013,Big Artists,Simona Molinari & Peter Cincotti,La felicità,13,,,,https://www.youtube.com/watch?v=RpzsVERfW44,,00:00:56
2013,Big Artists,Almamegretta,Mamma non lo sa,14,,,,https://www.youtube.com/watch?v=2MepatYVaBo,,00:00:55
2013,Big Artists,Marco Mengoni,Bellissimo,E,,,,https://www.youtube.com/watch?v=SgpkwWoudWg,,00:00:38
2013,Big Artists,Elio e le Storie Tese,Dannati forever,E,,,,https://www.youtube.com/watch?v=yMLrdESf_uc,https://www.youtube.com/watch?v=XJxVbw597JM,00:00:38
2013,Big Artists,Modà,Come l'acqua dentro il mare,E,,,,https://www.youtube.com/watch?v=UhWAsMvRoww,https://www.youtube.com/watch?v=eJQyd25bt7o,00:00:50
2013,Big Artists,Malika Ayane,Niente,E,,,,https://www.youtube.com/watch?v=T9UMbUCiAfs,,00:00:55
2013,Big Artists,Raphael Gualazzi,Senza ritegno,E,,,,https://www.youtube.com/watch?v=Icxj5MbKWl0,,00:00:48
2013,Big Artists,Daniele Silvestri,Il bisogno di te (ricatto d'onor),E,,,,https://www.youtube.com/watch?v=hK1Vnd0-s10,,00:00:30
2013,Big Artists,Max Gazzè,I tuoi maledettissimi impegni,E,,,,https://www.youtube.com/watch?v=BzBf43PW1EA,,00:02:30
2013,Big Artists,Chiara,L'esperienza dell'amore,E,,,,https://www.youtube.com/watch?v=nD_F4Tw7UNQ,,00:00:59
2013,Big Artists,Annalisa,Non so ballare,E,,,,https://www.youtube.com/watch?v=IwbzadvkAkM,,00:00:48
