year,performer,song,place_contest,youtube_url_studio,start
2019,Oscar Enestad,I Love It,E,https://www.youtube.com/watch?v=GIcOWDdyVEQ,00:00:38
2019,Rebecka Karlsson,Who I Am,E,https://www.youtube.com/watch?v=lZRrAyODt0A,00:00:43
2019,Martin Stenmarck,Låt skiten brinna,E,https://www.youtube.com/watch?v=xuXrfRij2-E,00:00:32
2019,Dolly Style,Habibi,E,https://www.youtube.com/watch?v=dnKSu35G230,00:00:32
2019,Omar Rudberg,Om om och om igen,E,https://www.youtube.com/watch?v=9dKLwa2GAEk,00:00:40
2019,The Lovers of Valdaro,Somebody Wants,E,https://www.youtube.com/watch?v=W4FBdhpQKBA,00:00:44
2019,Ann-Louise Hanson,Kärleken finns kvar,E,https://www.youtube.com/watch?v=0K8plmd3xTs,00:00:34
2019,Anton Hagman,Känner dig,E,https://www.youtube.com/watch?v=bpF-Zh6UHfs,00:00:54
2019,Pagan Fury,Stormbringer,E,https://www.youtube.com/watch?v=JNJd4HDemgI,00:00:43


2021,Tusse,Voices,1,https://www.youtube.com/watch?v=ufeuSX6QPBo,00:00:42
2021,Eric Saade,Every Minute,2,https://www.youtube.com/watch?v=GY3ZDqLa_QE,00:00:36
2021,The Mamas,In the Middle,3,https://www.youtube.com/watch?v=rPzudzgjf3g,00:00:33
2021,Dotter,Little Tot,4,https://www.youtube.com/watch?v=WdGx986YsYs,00:00:36
2021,Clara Klingenström,Behöver inte dig idag,5,https://www.youtube.com/watch?v=GKb1C_ZnE_8,00:00:37
2021,Klara Hammarström,Beat of Broken Hearts,6,https://www.youtube.com/watch?v=I5115fTz8J0,00:00:31
2021,Danny Saucedo,Dandi dansa,7,https://www.youtube.com/watch?v=LaElTrfCQ4g,00:00:42
2021,Charlotte Perrelli,Still Young,8,https://www.youtube.com/watch?v=0ITdJWjLtzM,00:00:41
2021,Arvingarna,Tänker inte alls gå hem,9,https://www.youtube.com/watch?v=LLrsfWzcurY,00:00:42
2021,Alvaro Estrella,Bailá Bailá,10,https://www.youtube.com/watch?v=KJw7YWp7W-g,00:00:38
2021,Anton Ewald,New Religion,11,https://www.youtube.com/watch?v=p3uqeBxiIgw,00:00:30
2021,Paul Rey,The Missing Piece,12,https://www.youtube.com/watch?v=ym89zZ105e4,00:00:30
2021,Lillasyster,Pretender,E,https://www.youtube.com/watch?v=c-7CRpcGrZ0,00:00:28
2021,Jessica Andersson,Horizon,E,https://www.youtube.com/watch?v=AHeX-SYrSLk,00:00:30
2021,Kadiatou,One Touch,E,https://www.youtube.com/watch?v=NyXCJGV9HgU,00:00:39
2021,Nathalie Brydolf,Fingerprints,E,https://www.youtube.com/watch?v=d6Efq7-o9vQ,00:00:45
2021,Eva Rydberg & Ewa Roos,Rena rama ding dong,E,https://www.youtube.com/watch?v=lo1FO2rwPeI,00:00:38
2021,Frida Green,The Silence,E,https://www.youtube.com/watch?v=9cxgUg-5zuM,00:00:30
2021,Patrik Jean,Tears Run Dry,E,https://www.youtube.com/watch?v=G5mwPW2wtS8,00:00:33
2021,Wahl feat. Sami,90-talet,E,https://www.youtube.com/watch?v=PuLvDqmdOmw,00:00:42
2021,Julia Alfrida,Rich,E,https://www.youtube.com/watch?v=_rBXcFPpZhc,00:00:38
2021,Emil Assergård,Om allting skiter sig,E,https://www.youtube.com/watch?v=_NjRimXtids,00:00:34
2021,Mustasch,Contagious,E,https://www.youtube.com/watch?v=z23X13g1EL8,00:00:31
2021,Elisa,Den du är,E,https://www.youtube.com/watch?v=VlT-2X6IHik,00:00:48
2021,Efraim Leo,Best of Me,E,https://www.youtube.com/watch?v=JeedegYMxpA,00:00:41
2021,Tess Merkel,Good Life,E,https://www.youtube.com/watch?v=UK8g4-kRflg,00:00:50
2021,Lovad,Allting är precis likadant,E,https://www.youtube.com/watch?v=YdsyZhAmqt0,00:00:44
2021,Sannex,All Inclusive,E,https://www.youtube.com/watch?v=gAI84XOKm2I,00:00:54



