year,performer,song,place_contest,youtube_url_studio,start
2012,Lotta Engberg & Christer Sjögren,Don't Let Me Down,E,https://www.youtube.com/watch?v=b3V9x7VB1kM,00:00:54
2012,Dynazty,Land of Broken Dreams,E,https://www.youtube.com/watch?v=LawtJKKPhNU,00:00:34
2012,Charlotte Perrelli,The Girl,E,https://www.youtube.com/watch?v=oS2KpQHb9uw,00:00:41
2012,Axel Algmark,Kyss mig,E,https://www.youtube.com/watch?v=iWPRWL_cniA,00:00:51
2012,Hanna Lindblad,Goosebumps,E,https://www.youtube.com/watch?v=TJUONNNaQd0,00:01:00
2012,OPA!,Allting blir bra igen,E,https://www.youtube.com/watch?v=lHLsJpK3JiU,00:00:44


2013,Robin Stjernberg,You,1,https://www.youtube.com/watch?v=hhnMkrgKu5M,00:00:53
2013,Yohio,Heartbreak Hotel,2,https://www.youtube.com/watch?v=nturpXE4Cf4,00:00:54
2013,Ulrik Munther,Tell the World I'm Here,3,https://www.youtube.com/watch?v=kK4Pzpk643g,00:00:39
2013,Anton Ewald,Begging,4,https://www.youtube.com/watch?v=5_OmCoEveqk,00:00:37
2013,Louise Hoffsten,Only the Dead Fish Follow the Stream,5,https://www.youtube.com/watch?v=FgQmqa8Wbmo,00:00:51
2013,Sean Banan,Copacabanana,6,https://www.youtube.com/watch?v=2Te2mK8e4Ns,00:00:45
2013,Ralf Gyllenhammar,Bed on Fire,7,https://www.youtube.com/watch?v=cHvx7ltuzvI,00:01:06
2013,David Lindgren,Skyline,8,https://www.youtube.com/watch?v=bdacbW0eTJ8,00:00:37
2013,State of Drama,Falling,9,https://www.youtube.com/watch?v=dM9ddBleDJo,00:00:36
2013,Ravaillacz,En riktig jävla schlager,10,https://www.youtube.com/watch?v=07HwzC5y7DM,00:00:33
2013,Cookies 'N' Beans,Burning Flags,E,https://www.youtube.com/watch?v=yaVQ35iKQ6Y,00:00:44
2013,Eric Gadd,Vi kommer aldrig att förlora,E,https://www.youtube.com/watch?v=D6em7Ck46O8,00:00:37
2013,Mary N'diaye,Gosa,E,https://www.youtube.com/watch?v=5jL-OGxYRcQ,00:00:53
2013,Michael Feiner & Caisa,We're Still Kids,E,https://www.youtube.com/watch?v=nlSIq5xojfA,00:00:37
2013,Anna Järvinen,Porslin,E,https://www.youtube.com/watch?v=s7imuHMFJBA,00:01:00
2013,Jay-Jay Johanson,Paris,E,https://www.youtube.com/watch?v=FJYDlwxlETw,00:01:00
2013,Erik Segerstedt & Tone Damli,Hello Goodbye,E,https://www.youtube.com/watch?v=OO_iiZ8bi4w,00:00:33
2013,Felicia Olsson,Make Me No 1,E,https://www.youtube.com/watch?v=4empyOOBnAw,00:00:44
2013,Swedish House Wives,On Top of the World,E,https://www.youtube.com/watch?v=Oae5fZV0gAY,00:00:36
2013,Rikard Wolff,En förlorad sommar,E,https://www.youtube.com/watch?v=2uZQjf1SrX8,00:00:40
2013,Joacim Cans,Annelie,E,https://www.youtube.com/watch?v=6LWt1XNVU3E,00:00:40
2013,Martin Rolinski,In and Out of Love,E,https://www.youtube.com/watch?v=Jxhzp8l_jDo,00:00:38
2013,Caroline af Ugglas,Hon har inte,E,https://www.youtube.com/watch?v=mf15iAKO__U,00:00:51
2013,Janet Leon,Heartstrings,E,https://www.youtube.com/watch?v=6W29MDOAZo8,00:00:35
2013,Eddie Razaz,Alibi,E,https://www.youtube.com/watch?v=kY1m9GL4clg,00:00:38
2013,Amanda Fondell,Dumb,E,https://www.youtube.com/watch?v=ozY-lI-Y9cM,00:00:35
2013,Elin Petersson,Island,E,https://www.youtube.com/watch?v=PKBal-zVMrc,00:00:35
2013,Behrang Miri,Jalla Dansa Sawa,E,https://www.youtube.com/watch?v=nZoo3jZuCzw,00:00:01
